epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9185142856052944,0.22081375550883156,1.0000001e-05,0.9144499998410542,0.22929359334309896
1,0.91851428565979,0.2207086712564741,1.0000001e-05,0.9142833331743876,0.22934330693880717
2,0.9184499999182565,0.2206786139692579,1.0000001e-05,0.9146333331743877,0.229334841521581
3,0.9185499999455043,0.22068120659078871,1.0000001e-05,0.9140999999046325,0.22958275122642516
4,0.9187000001226153,0.22051562658037457,1.0000001e-05,0.9144166665077209,0.2293243106842041
5,0.918628571510315,0.22045181713444845,1.0000001e-05,0.9144833331743876,0.22934249113400776
6,0.9186999998910087,0.22026123224326544,1.0000001e-06,0.9143333331743876,0.22934024138450623
7,0.9186285715648106,0.2202606492962156,1.0000001e-06,0.9144666665077209,0.22933792481422424
8,0.9186428570747376,0.22024778606891632,1.0000001e-06,0.9143999998410542,0.22935732097625733
9,0.918707143007006,0.2202424990790231,1.0000001e-06,0.9144833331743876,0.22933926609357197
10,0.9187499999046326,0.2202406517301287,1.0000001e-06,0.9144166665077209,0.22935178186098734
11,0.9186785714013236,0.22021043071746826,1.0000001e-07,0.9143999998410542,0.22934789759318033
12,0.9186857143129621,0.22020886643614088,1.0000001e-07,0.9144166665077209,0.22934483165740968
13,0.9186785715375628,0.2202064249072756,1.0000001e-07,0.9144166665077209,0.2293442156791687
14,0.9186857141494751,0.2202064268861498,1.0000001e-07,0.9144499998410542,0.22934204909006756
15,0.9186642858232771,0.22020467269080027,1.0000001e-07,0.9144333331743876,0.22934326531092325
16,0.9186571427753993,0.22020211519173213,1.0000001e-08,0.9144333331743876,0.2293432237625122
17,0.9186714284351893,0.22020203566891808,1.0000001e-08,0.9144333331743876,0.22934328296979267
18,0.9186785712787083,0.22020217495645797,1.0000001e-08,0.9144333331743876,0.2293433124065399
19,0.9186714286259242,0.22020201023306166,1.0000001e-08,0.9144333331743876,0.22934325846036274
20,0.9186714286123003,0.2202018837758473,1.0000001e-08,0.9144166665077209,0.22934319597880046
21,0.9186785714830671,0.22020161097390312,1.0000001e-09,0.9144166665077209,0.2293431957244873
22,0.9186785715239388,0.22020160774162836,1.0000001e-09,0.9144166665077209,0.2293431947072347
23,0.9186785713604518,0.2202016055379595,1.0000001e-09,0.9144166665077209,0.22934319297472636
24,0.9186785713604518,0.22020160612038203,1.0000001e-09,0.9144166665077209,0.22934319704373676
25,0.918678571346828,0.22020160590580531,1.0000001e-09,0.9144166665077209,0.22934319602648418
26,0.9186785713195801,0.22020160650185178,1.0000001e-10,0.9144166665077209,0.22934319729804992
27,0.9186785713059562,0.22020160128729685,1.0000001e-10,0.9144166665077209,0.22934319806098938
28,0.9186785713876997,0.22020160629068103,1.0000001e-10,0.9144166665077209,0.22934319653511048
29,0.9186785714558192,0.22020159969670433,1.0000001e-10,0.9144166665077209,0.22934319678942364
30,0.9186785712787083,0.22020160240445819,1.0000001e-10,0.9144166665077209,0.22934319856961569
31,0.9186785713059562,0.2202016005039215,1.0000001e-11,0.9144166665077209,0.22934319856961569
32,0.9186785714421953,0.22020160170282638,1.0000001e-11,0.9144166665077209,0.22934319882392884
33,0.9186785714966911,0.22020160481248582,1.0000001e-11,0.9144166665077209,0.22934319882392884
34,0.9186785713604518,0.220201599918093,1.0000001e-11,0.9144166665077209,0.22934319882392884
35,0.9186785712923322,0.22020160144737788,1.0000001e-11,0.9144166665077209,0.22934319856961569
36,0.918678571510315,0.2202016003199986,1.0000001e-12,0.9144166665077209,0.22934319856961569
37,0.9186785714149475,0.22020160399845667,1.0000001e-12,0.9144166665077209,0.22934319856961569
38,0.9186785713876997,0.2202015984398978,1.0000001e-12,0.9144166665077209,0.22934319856961569
39,0.9186785712923322,0.2202016023533685,1.0000001e-12,0.9144166665077209,0.22934319856961569
40,0.9186785714421953,0.22020160349777768,1.0000001e-12,0.9144166665077209,0.22934319856961569
41,0.9186785715648106,0.22020160141672407,1.0000001e-13,0.9144166665077209,0.22934319856961569
42,0.918678571346828,0.22020160366807665,1.0000001e-13,0.9144166665077209,0.22934319856961569
43,0.918678571346828,0.2202016024657658,1.0000001e-13,0.9144166665077209,0.22934319856961569
44,0.9186785712923322,0.22020160061631883,1.0000001e-13,0.9144166665077209,0.22934319856961569
45,0.9186785714830671,0.22020160163470676,1.0000001e-13,0.9144166665077209,0.22934319856961569
